id,type,origin,file_size_kb,manipulation_detected
0,audio,Telegram,33113,1
1,image,WhatsApp,20010,1
2,video,Twitter,22220,0
3,audio,Instagram,26408,0
4,image,Instagram,8072,0
5,audio,Instagram,41936,0
6,audio,Facebook,14672,0
7,audio,Telegram,38164,1
8,image,Instagram,16867,0
9,image,Facebook,30172,0
10,audio,Instagram,32850,1
11,image,WhatsApp,40242,0
12,image,Twitter,35946,1
13,audio,Twitter,45217,0
14,image,Instagram,3976,0
15,image,WhatsApp,13426,0
16,image,Twitter,17228,0
17,audio,Instagram,31529,0
18,audio,WhatsApp,41525,1
19,audio,WhatsApp,26538,0
20,audio,Facebook,17428,1
21,image,Facebook,49110,0
22,image,WhatsApp,48082,0
23,video,WhatsApp,34931,1
24,audio,Twitter,23386,1
25,audio,Twitter,30294,1
26,audio,WhatsApp,38844,1
27,image,Twitter,48897,0
28,image,Instagram,23321,1
29,video,Facebook,34531,0
30,video,Telegram,23675,0
31,video,Twitter,42971,1
32,image,Telegram,804,0
33,audio,WhatsApp,42554,1
34,audio,Telegram,887,1
35,image,Twitter,43061,0
36,video,Instagram,33630,0
37,video,Twitter,9094,0
38,audio,Instagram,31367,1
39,video,WhatsApp,44962,0
40,image,Instagram,3574,1
41,audio,Instagram,37582,0
42,video,Instagram,13267,0
43,image,WhatsApp,35925,0
44,audio,WhatsApp,1334,1
45,image,WhatsApp,25733,1
46,audio,WhatsApp,34095,0
47,audio,Telegram,12549,1
48,video,Instagram,1395,1
49,image,Twitter,40428,0
50,image,Twitter,7267,0
51,image,Facebook,47028,0
52,image,Twitter,41117,0
53,audio,WhatsApp,8162,0
54,audio,Twitter,32041,0
55,audio,Twitter,4397,1
56,image,Facebook,23192,1
57,video,Telegram,10867,1
58,audio,Instagram,8501,0
59,image,WhatsApp,33550,0
60,image,WhatsApp,31039,1
61,image,Twitter,6457,0
62,audio,Telegram,994,1
63,audio,WhatsApp,5591,0
64,video,Telegram,46509,0
65,image,Instagram,48399,0
66,video,Facebook,21102,0
67,video,Telegram,44685,0
68,audio,WhatsApp,29918,0
69,image,Facebook,47841,1
70,video,Instagram,42972,0
71,image,WhatsApp,33247,0
72,video,Facebook,18236,0
73,audio,Instagram,34276,1
74,audio,Facebook,42151,0
75,image,WhatsApp,30994,0
76,video,Telegram,36491,1
77,video,Telegram,5630,1
78,video,Telegram,20288,0
79,audio,Facebook,19658,1
80,video,Telegram,28066,1
81,audio,Telegram,18681,0
82,audio,Facebook,21227,0
83,image,Instagram,28866,0
84,audio,Telegram,19730,1
85,audio,Telegram,47205,1
86,video,Instagram,39169,1
87,image,WhatsApp,21712,1
88,audio,Twitter,5171,1
89,image,Facebook,41792,1
90,video,Instagram,47949,1
91,video,Twitter,23350,1
92,video,Twitter,42278,1
93,audio,Instagram,37535,1
94,video,Telegram,48879,1
95,video,Facebook,29455,0
96,image,Instagram,11110,1
97,audio,WhatsApp,8826,1
98,audio,Facebook,21543,0
99,audio,Facebook,18256,0
